2018-04-20 17:07:08.465  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : Starting MobileCenterInstrumentatorApplication on CABCUKDCQB with PID 8092 (C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator\target\classes started by pinzi in C:\Users\pinzi\Documents\workspace-sts-3.8.4.RELEASE\MobileCenterInstrumentator)
2018-04-20 17:07:08.475  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : No active profile set, falling back to default profiles: default
2018-04-20 17:07:08.671  INFO 8092 --- [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@45b9a632: startup date [Fri Apr 20 17:07:08 CEST 2018]; root of context hierarchy
2018-04-20 17:07:21.029  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'requestContextFilter' to: [/*]
2018-04-20 17:07:21.030  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'httpTraceFilter' to: [/*]
2018-04-20 17:07:21.031  INFO 8092 --- [localhost-startStop-1] o.s.b.w.servlet.FilterRegistrationBean   : Mapping filter: 'webMvcMetricsFilter' to: [/*]
2018-04-20 17:07:21.560  INFO 8092 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-04-20 17:07:23.630  INFO 8092 --- [main] s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@45b9a632: startup date [Fri Apr 20 17:07:08 CEST 2018]; root of context hierarchy
2018-04-20 17:07:24.148  INFO 8092 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-04-20 17:07:24.153  INFO 8092 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-04-20 17:07:24.526  INFO 8092 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-04-20 17:07:24.526  INFO 8092 --- [main] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-04-20 17:07:25.979  INFO 8092 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2018-04-20 17:07:26.020  INFO 8092 --- [main] s.b.a.e.w.s.WebMvcEndpointHandlerMapping : Mapped "{[/actuator/health],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-04-20 17:07:26.025  INFO 8092 --- [main] s.b.a.e.w.s.WebMvcEndpointHandlerMapping : Mapped "{[/actuator/info],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto public java.lang.Object org.springframework.boot.actuate.endpoint.web.servlet.AbstractWebMvcEndpointHandlerMapping$OperationHandler.handle(javax.servlet.http.HttpServletRequest,java.util.Map<java.lang.String, java.lang.String>)
2018-04-20 17:07:26.029  INFO 8092 --- [main] s.b.a.e.w.s.WebMvcEndpointHandlerMapping : Mapped "{[/actuator],methods=[GET],produces=[application/vnd.spring-boot.actuator.v2+json || application/json]}" onto protected java.util.Map<java.lang.String, java.util.Map<java.lang.String, org.springframework.boot.actuate.endpoint.web.Link>> org.springframework.boot.actuate.endpoint.web.servlet.WebMvcEndpointHandlerMapping.links(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-04-20 17:07:26.326  INFO 8092 --- [main] o.s.j.e.a.AnnotationMBeanExporter        : Registering beans for JMX exposure on startup
2018-04-20 17:07:26.466  INFO 8092 --- [main] s.a.ScheduledAnnotationBeanPostProcessor : No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018-04-20 17:07:26.524  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:26.769  INFO 8092 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8093 (http) with context path ''
2018-04-20 17:07:26.789  INFO 8092 --- [main] .p.MobileCenterInstrumentatorApplication : Started MobileCenterInstrumentatorApplication in 19.869 seconds (JVM running for 21.22)
2018-04-20 17:07:27.275  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:28.489  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:28.735  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:30.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:30.599  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:32.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:32.600  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:34.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:34.654  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:36.489  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:36.643  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:38.489  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:38.660  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:40.489  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:40.670  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:42.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:42.638  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:44.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:44.645  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:46.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:46.721  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:48.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:48.659  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:50.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:50.604  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:52.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:52.667  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:54.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:54.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:56.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:56.606  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:07:58.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:07:58.609  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:00.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:00.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:02.490  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:02.601  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:04.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:04.603  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:06.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:06.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:08.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:08.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:10.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:10.589  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:12.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:12.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:14.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:14.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:16.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:16.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:18.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:18.587  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:20.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:20.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:22.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:22.589  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:24.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:24.586  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:26.491  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:26.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:28.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:28.642  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:30.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:30.586  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:32.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:32.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:34.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:34.589  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:36.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:36.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:38.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:38.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:40.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:40.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:42.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:42.613  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:44.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:44.613  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:46.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:46.586  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:48.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:48.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:50.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:50.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:52.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:52.583  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:54.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:54.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:56.492  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:56.584  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:08:58.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:08:58.597  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:00.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:00.588  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:02.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:02.586  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:04.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:04.589  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:06.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:06.588  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:08.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:08.587  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:10.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:10.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:12.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:12.648  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:14.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:14.635  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:16.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:16.635  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:18.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:18.581  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:20.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:20.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:22.493  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:22.625  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:24.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:24.640  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:26.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:26.631  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:28.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:28.628  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:30.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:30.585  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:32.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:32.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:34.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:34.601  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:36.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:36.606  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:38.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:38.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:40.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:40.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:42.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:42.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:44.494  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:44.599  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:46.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:46.597  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:48.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:48.604  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:50.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:50.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:52.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:52.614  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:54.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:54.741  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:56.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:56.605  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:09:58.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:09:58.606  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:00.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:00.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:02.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:02.602  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:04.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:04.593  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:06.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:06.592  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:08.495  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:08.594  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:10.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:10.596  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:12.496  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:12.598  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
2018-04-20 17:10:14.497  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : Loop
2018-04-20 17:10:14.595  INFO 8092 --- [pool-1-thread-1] com.pinzi.Scheduler                      : exit: 0
